review,sentiment
"I've read the other reviews and found some to be comparison of movie v real life (eg what it takes to get into music school), Britney Bashing, etc, etc. so let's focus on the movie and the message.<br /><br />I have rated this movie 7 out of 10 for the age range 8 to 14 years, and for a family movie. For the average adult male.... 2 out of 10.<br /><br />I like pop/rock music, i'm 45. I know of Britney Spears but never realised she actually sang Stronger until i read the credits and these reviews. I didn't recognise her poster on the wall so I was not worried about any 'self promotion'.<br /><br />I watch movies to be entertained. i don't care about casting, lighting, producers, directors, etc. What is the movie and does it entertain me.<br /><br />I watched this movie for the message. The world's greatest epidemic is low self-esteem (which is a whole other story) so watched with the message in mind, as that is an area of interest. The movie is light, bright and breezy, great for kids. I found the Texan twang began to fade throughout the movie and of course there are only so many ways to convey the give up/don't give up message, so yeh, it was a bit predictable. Great message though...should be more of them.<br /><br />This movie is a great family movie, but for a bloke watching by himself, get Hannibal.",positive
"OK - you want to test somebody on how comfortable they are with their adolescence and the embarrassing and maniacal changes therin - then get their immediate reaction from watching this uproarious doc about kids making socially relevant horror flicks in the suburban 80's. More than any movie I has ever seen, the film deals with burdening sexuality and ego in a way that is completely human, never dull, and flushed in the kind of inherent goodness of youth that is discolored by the fear-frenzied adult world where any quirk in youth is accredited to anything from insanity to perversion. Mini-mogul Darren Stien seems to be reaching for a deeper understanding of his triumphs and misgivings as the patriarch of strict kid's world. What he finds in himself and others isn't always pretty - but shows how one can improve and reconcile with age. What does change mean without reflection. I love this movie.",positive
"I have done quite a few reviews on IMDb and this film is unique in that I never saw the entire movie. It was so terribly stupid and unfunny that I just couldn't sit through it--though I tried.<br /><br />The biggest problem with this and any Mel Brooks movie I call ""the Mel quotient"". In other words, the better his movie, the less of him you see in the film. Think about it--The Producers and Young Frankenstein were great films and he was barely in them at all. BUT, films like Life Stinks and Space Balls are chock full of Mel and are pretty dopey movies (yes, I DID NOT LIKE Space Balls--but this isn't the place to talk about that).<br /><br />Second, apart from cancer, rectal itch and mental retardation, I can't think of a less funny topic than homelessness. This is just a comedy breaker. Think about it, folks. The FUNNIEST(?) scene in the movie has Mel making whoopee with Leslie Ann Warren in a dumpster!! And this is funny in what way?",negative
"Korine's established himself, by now, as a talented and impressive image-maker. The promotional posters for Mister Lonely all include the film's most impressive compositions (though there's one in particular I've yet to see in promo material: that of a blue-clad nun teasing a dog with a stick, surrounded by green forest with torrential rain pouring down). The opening images of this film, of Michael Jackson lookalike (Diego Luna) riding a small motorbike round a track, is strangely compelling and beautiful: Roy Orbison's ""Mister Lonely"" plays on the soundtrack, and the images unfold in slow-motion. There's also a funny and terrific sequence in which the same character mimes a dance, without music (though a radio sits like a silent dog next to him), in the middle of a Paris street; Korine splices in sound effects and jump-cuts that evoke both a feeling of futility and dogged liberation in the character's dance routine.<br /><br />The first instance of the segment dealing with the nuns is also strangely poignant; Father Umbrillo (Werner Herzog) is an autocratic priest about to fly with some nuns over, and drop food into, impoverished areas nearby. In a scene that is both light-hearted and affecting, Herzog must deal with a stubbornly enthusiastic local who wishes to make the plane trip with them in order to see his wife in San Francisco. As the exchange develops, Herzog draws out of the man a confession: he has sinned, and his frequent infidelity is the cause of his wife having left him in the first place. This scene, short and sweet, gains particular weight after one learns its improvised origins: the sinner is played by a non-actor who was on set when Korine and co. were filming - and his adulterous ways had given him, in real life, a lasting, overwhelming guilt.<br /><br />Henceforth, the film is hit-and-miss; a succession of intrinsically interesting moments that add to a frivolous, muddled narrative. Whereas Gummo and Julien Donkey-Boy maintain their aesthetic and emotional weight via coherent structural frameworks, Mister Lonely feels like a victim of editing room ruthlessness. A few scenes were cut from the film, which would have otherwise painted fuller pictures of certain characters, due to continuity errors in costume - a result, no doubt, due to the absence of a shooting script and Korine's tendency for improvisation. One deleted scene in particular - in which 'Charlie Chaplin' (Denis Lavant) and 'Madonna' (Melita Morgan) have sex - would have added much more emotional conflict to a scene later on in the film (I won't spoil it, but it's there to deflate any feeling of warmth or celebration, and, as it is, only half-succeeds).<br /><br />The two strands of the narrative, unconnected literally, are best approached as two entirely different stories with the same allegorical meaning; one compliments the other and vice versa. (It's something to do with the conflict between one's ambitions and the reality of the current situation.) But there's not enough of the Herzog scenes to merit their place in the film, and so any connection between these two allegorically-connected threads is inevitably strained - and the inclusion is, in retrospect, tedious.<br /><br />This is an ambitious step forward from Julien Donkey-Boy that suffers mostly, at least in the lookalike segments, from having far too many characters for the film's running length, a flaw that would have been even worse had big star names played everyone (as was originally planned).<br /><br />With many of the imagery's self-contained beauty, and moments of real, genuine connection with the soundtrack, this feels like it'd be much more suited to an art installation or photo exhibition. As an exploration of mimesis and the nature of impersonation, it'd lose none of its power - indeed, for me, it would perhaps be more impressive. The loneliness attached to iconic performativity (such as that encountered by both the icons themselves and those who aspire to be like them) is well-captured in images such as that wherein 'Marilyn Monroe' (a gorgeous Samantha Morton) seduces the camera with a Seven Year Itch pose in the middle of a forest, or when 'Sammy Davis, Jr.' (Jason Pennycooke) settles, post-dance rehearsal, with his back to the camera overlooking an incredible, tranquil lake.<br /><br />As it is, moments like these, and all those where the titles of randomly-chosen Michael Jackson songs crawl across the scene, are married to one another in a film narrative far less affecting than it should be.<br /><br />(For those who see it, I lost all faith during the egg-singing scene, late on. You'll know which scene I mean because it sticks out like a sore thumb, as some sort of gimmicky attempt at the new cinematic language for which Korine has previously been hailed.)",negative
"Watching QUINTET is not unlike watching a group of people playing a word game in Portuguese, or some other language you do not understand. You get the idea that they are playing a game, and if you watch closely enough, you may just begin to understand the rules. But, why bother, since it is clear you can't join in and you wouldn't want to if you had the chance.<br /><br />Director Robert Altman is not one to beg an audience to like his films, let alone understand them. Sometimes he lets you slip into the picture to be a part of the crowd, like in M*A*S*H, NASHVILLE and A WEDDING, films so full of hubbub and orchestrated chaos, one or two more bodies in the scene wouldn't make much of a difference. And other times, he seems to resent the fact that someone might even be watching his film; as in IMAGES or THREE WOMEN, where the stories are almost personal monologues made for an audience of one, Altman. With QUINTET, Altman seems to purposely dare anyone to become involved with the narrative. <br /><br />You can't depend on Altman to do the logical or the expected, which is sometimes the thing that makes his films so remarkably iconoclastic. But sometimes doing the unexpected isn't daring, just dumb. For instance, in QUINTET, we are introduced to a young woman who is apparently the last person on earth capable of getting pregnant, and she is, indeed, with child. This last ray of hope in a decaying society is almost immediately extinguished; Altman doesn't even wait until the end to play his last depressing card in this elaborate nihilistic and pessimistic tale. He lets us know how empty and meaningless life is right off the bat. Brave? Maybe. Stupid? Definitely. Devoid of a purpose, he tries to build a story on a rapidly melting iceberg, all the while reminding us how pointless the effort is. <br /><br />For the record, QUINTET, can at least claim to be prophetic. The story is centered on a treacherous game played by the various bored characters. It is a form of TAG (the assassination game): a handful of people target each other for elimination, each as a would-be assassin and each as a would-be victim. Two or more can form alliances to kill a third. As they die off, new targets are assigned. Whoever lives, wins. All of this happens at some exotic, inhospitable wasteland. It is, to a great extent, an extreme, sci-fi version of ""Survivor"" -- minus the commercial plugs and faked ""reality.""<br /><br />It is not a bad concept for a sci-fi epic. A post-apocalyptic setting, a microcosm of the world (the cast is pointedly multinational), a game where no on can be trusted or least not for long, and where no one really wins. Literally a cold war. A steely eyed director with a taste for dark humor and violent invention could have a field day. The mystery in QUINTET is not in the game or how it is played, but in why it exists it all. If the game ""Quintet"" is a metaphor for life, then Altman, seems to see nothing in the material but a chance to show life to be an empty, meaningless game -- a conclusion as obvious as it is untrue. Given the lively, albeit cynical nature of the rest of his diverse films, I don't believe that Altman believes in QUINTET either. And if Altman has no faith in his material, why should we?",negative
"This movie is up there with the all-time classics. The music, camera shots, and acting are excellent. Showing the movie in black and white gave it a much better appearance and complemented the music perfectly, like Psycho. Its surprising how so few people have commented on this movie. My guess is that its a hard movie to find. I gave the film a 9. See the movie and you'll know what I'm talking about.",positive
"This movie was the worst movie I have seen since ""Date Movie."" I was laughing through out the whole movie instead of being scared. It was funny how the snakes would search for particular section of the passengers body to attack for example, the eye, the tongue, the butt, the breast. If we have seen national geographic channel we know snakes wont stay clinched on the body once they bite. For each particular scene the snakes would bite the passengers and would stay on the body biting the person. I believe the producer did not study his information on snakes and their behavior. I cant believe I wasted my money on this movie.So I don't recommend this movie trust just wait until it is at the dollar theatre or rent it.",negative
"This BBC series is excellent. I am no Paleontologist, but this series gives the best historical representation of dinosaurs I have ever seen. The 3D animation and animatronics are very good and make you believe you have travelled back in time. The BBC deserves a pat on the back for such a fine series as well as Tim Haines who must have spent a great deal of time getting this series to air.",positive
"This movie had it all,action,comedy,heroics,and best of all some of the finest actors.Gunga Din will remain a classic to be enjoyed by all who like good movies.Excellent picture,i have it in my collection.",positive
"Mild SPOILERS contained herein. I'm spoiling this film to save you the trouble of having to watch it. <br /><br />Jet Li's movies fall into one of two categories: Shaolin period movies and movies set in modern-day Hong Kong revolving around Triads or Triad like organizations. Each genre has its best and worst films. `Twin Warriors' is Jet Li's best Shaolin era flick while `The Evil Cult' is his worst. `Fist of Legend' while in the recent past is the best `modern era' Jet Li movie. `Black Mask' without a doubt is the worst.<br /><br />Jet Li plays a self-exiled mercenary who received an injection that gives him superhuman ability, but shortens his life span. In his `new life' in exile he plays a pacifist librarian. When his old mercenary squad goes on a rampage, Jet Li becomes a vigilante determined to stop them. He dons a very silly corrugated cardboard mask so as to conceal his identity from the police (and public) as a librarian, as well as to conceal his true identity to his ex-comrades in arms.<br /><br />The version I saw was dubbed, and horribly at that. Why does Jet Li capture and hold hostage his library co-worker if he's a pacifist? Is there a love story between them? Why does the police chief not care when he learns of the Black Mask's true identity? The plot is just plain BAD. Bad by way of the superhero cheesiness, bad in the sense that characters are never properly developed, bad in its character interactions, all topped off by a half-explained story I quickly lost interest in. <br /><br />The action and martial arts sequences are way over the top. Lots of blood, gore (severed body parts aplenty), explosions, and Matrix style superhuman martial arts fiascos are present in the film. Unfortunately this is the films best and only selling point. If you want to see Jet Li playing a vigilante superhero in a Mission Impossible style movie `Black Mask' delivers. For the rest of us Jet Li fans it is a true disappointment. This is one of those movies where Jet Li never gets to be Jet Li: he gets neither the chance to charm us with his charisma, nor a chance to impress us with his impressive yet realistic martial arts ability. <br /><br />Normally a Chinese knockoff of Ozzy Osbourne would be enough to engross me in a film, sadly `Black Mask' proved to be an exception to that rule. Indeed the antagonist of this movie, by the way he dresses, his long straight hair, and trademark round sunglasses looks like the modern and aged Ozzy Osbourne. However the villain isn't on-screen long enough to make the gimmick worthwhile. I am assuming the likeness to Ozzy was intentional; in addition to the villain's look, he also ran a satanic looking hideout. So much more could have been made from the Ozzy Osbourne villain gimmick! If only the writer, director, or ANYONE had bothered to give a background to and develop the character of the film's arch villain!<br /><br />`Black Mask' was the first Jet Li film released on video in the USA after Lethal Weapon 4, and I'm glad I stayed away from it until now. It may well have ruined my whole perception of Jet Li as a martial artist and actor. If you want to see Jet Li at his worst, rent `Black Mask' and `The Evil Cult' and make it a double feature or horror, both intentional and unintentional. Otherwise stick to moves that utilize the talents of Jet Li, and have plots that are semi-well thought out and plausible. 3/9 stars.",negative
